anime_id,Name,English name,Other name,Score,Genres,Synopsis,Type,Episodes,Aired,Premiered,Status,Producers,Licensors,Studios,Source,Duration,Rating,Rank,Popularity,Favorites,Scored By,Members,Image URL
2837,Ariel Deluxe,UNKNOWN,DELUXE ARIEL (エリアル),5.86,"Action, Comedy, Sci-Fi","Those incompetent aliens are still plotting to conquer the Earth! The only obstacle in their path is the giant, feminine robot ARIEL! But the young pilots have lives of their own... When Kazumi receives a mysterious love letter from a secret admirer, should she cancel her first date just to save the Earth? 

(Source: AnimeNfo)",OVA,2.0,"Jan 21, 1991 to Apr 21, 1991",UNKNOWN,Finished Airing,animate Film,Central Park Media,J.C.Staff,Novel,42 min per ep,PG-13 - Teens 13 or older,9452.0,11019,2,667.0,1767,https://cdn.myanimelist.net/images/anime/1004/94070.jpg
2838,Toushin Toshi II,Tournament of the Gods: Title Match,闘神都市Ⅱ,5.61,"Adventure, Fantasy, Romance, Hentai","Sid enters a tournament. Shortly after he is crowned champion, the fallen Angel Aquross infects him with a hideous disease that requires him to steal the life energy of Angels or be in constant pain. The only relief lies in a drug that kills the pain, but causes sexual urges that cannot be denied. Now, Sid must defeat the evil Aquross.

(Source: ANN)",OVA,3.0,"Dec 19, 1997 to Jun 27, 1998",UNKNOWN,Finished Airing,Pink Pineapple,SoftCel Pictures,AIC,Visual novel,29 min per ep,Rx - Hentai,UNKNOWN,11437,1,450.0,1500,https://cdn.myanimelist.net/images/anime/1142/96468.jpg
2839,Ariel Visual,UNKNOWN,ARIEL (エリアル) VISUAL,5.35,"Action, Comedy, Sci-Fi","To save the Earth from alien invaders and their giant monsters, Dr. Kishida does what any other red-blooded mad scientist would do: he builds a giant robot—the ultimate feminine fighting robot!

Unfortunately, his grand-daughters refuse to pilot it! Apparently, they've got more important things to do than becoming teenage super-heroes. Besides, how are you supposed to study for your college entrance exams while getting beaten-up in battle?

Fortunately for Dr. Kishida, things aren't too well for the invaders, either. According to their reports, the Earth was the perfect target: lush, peaceful, and relatively defenseless. Theoretically, the planet should've surrendered long ago. Now, the war is at a standstill, the dreaded Accounting Department is warning about the serious cost overruns, and the head of the home office has arrived from Galactic Headquarters to personally oversee operations. Has Headquarters decided to unleash, The Audit—or do they have something even more evil in mind?

The fate of the world rests upon two people: Aya Kishida, one of the doctor's granddaughters, who may have to give up prep school to pilot the mighty (and lovely) ARIEL; and a mysterious alien named Saber Starblast, who may have the power to defeat the invaders once and for all...

(Source: AnimeNfo)",OVA,2.0,"Jul 21, 1989 to Aug 21, 1989",UNKNOWN,Finished Airing,animate Film,Central Park Media,J.C.Staff,Novel,27 min per ep,PG-13 - Teens 13 or older,11236.0,10480,0,657.0,2124,https://cdn.myanimelist.net/images/anime/13/56395.jpg
2840,Youkoso Lodoss-tou e!,Welcome to Lodoss Island!,ようこそロードス島へ！,6.02,Comedy,"This movie is the compilation of the 27 mini-parody episode trailers that ran at the end of every Record of Lodoss War: Chronicles of the Heroic Knight episode, which featured characters depicted in their chibi forms.",Movie,1.0,"Apr 25, 1998",UNKNOWN,Finished Airing,AIC,UNKNOWN,UNKNOWN,Unknown,35 min,G - All Ages,8725.0,10591,3,837.0,2053,https://cdn.myanimelist.net/images/anime/7/61305.jpg
2841,Kuro Ai: Hitoyozumakan Inkou Rannyuuroku,Dark Love,黒愛 一夜妻館・淫口乱乳録,6.63,Hentai,"Tetsuya's investigation into a luxurious hotel turns over a nest of yakuza and a bizarre orgy cult. On rich silk sheets and velvet chairs, the rich and powerful participate in sex acts so depraved that just witnessing them is likely to turn a man into a monster. But the true purpose of this cult is a pact with evil energies that can literally turn Tetsuya into an inhuman demon. 

(Source: ANN)",OVA,2.0,"Apr 29, 2005 to Jun 24, 2005",UNKNOWN,Finished Airing,Green Bunny,"Media Blasters, Kitty Media",Shinkuukan,Visual novel,26 min per ep,Rx - Hentai,UNKNOWN,5761,90,4832.0,11227,https://cdn.myanimelist.net/images/anime/7/57191.jpg
2842,Pokemon Fushigi no Dungeon: Shutsudou Pokemon Kyuujotai Ganbaruzu!,Pokémon Mystery Dungeon: Team Go-Getters Out of the Gate!,ポケモン不思議のダンジョン 出動ポケモン救助隊ガンバルズ！,6.48,"Adventure, Fantasy","A human wakes up one day to discover that he has become a Squirtle in a world filled with natural disasters, where he meets Charmander and Chikorita of Team Go-Getters, a Pokemon rescue team. Squirtle joins Team Go-Getters for the task of saving Pichu's Brother Pikachu from Skarmory, however Gengar and his Team Meanies decide to interfere.

(Source: ANN)",Special,1.0,"Sep 8, 2006",UNKNOWN,Finished Airing,Nintendo of America,The Pokemon Company International,OLM,Game,20 min,PG - Children,6489.0,5161,4,7515.0,14757,https://cdn.myanimelist.net/images/anime/1445/92964.jpg
2847,Pokemon Movie 10: Dialga vs. Palkia vs. Darkrai,Pokémon: The Rise Of Darkrai,ポケットモンスター ダイヤモンド＆パール ディアルガVSパルキアVSダークライ,7.29,"Action, Adventure, Comedy, Drama, Fantasy","The beautiful Alamos Town is home to a pair of century-old structures known as the Space-Time Towers, built by the architect Godey to play orchestral music in the area. The towers are also home to the Alamos Town Contest Hall, which is the next destination for Hikari, Satoshi, and Takeshi in their journey through the Sinnoh region. A woman named Alice and her partner Chimchar are happy to guide Satoshi and his friends through the town and its hallmarks.

But the tour is suddenly interrupted when Alice's friend Tonio notices a wave of dimensional disturbances throughout the town—all of which is blamed on an ominous Pokémon named Darkrai. The space-time disturbances continue to intensify as two legendary Pokémon, the Temporal Pokémon Dialga and the Spatial Pokémon Palkia, appear to duel each other, isolating the town and everyone present in it from the world into another dimension!

As he learns that this event was foreseen long ago, Tonio finds that his great-grandfather left behind a way to stop the dueling Pokémon. Will Satoshi and his friends be able to use this last resort to save Alamos Town from vaporizing between the dimensions?",Movie,1.0,"Jul 15, 2007",UNKNOWN,Finished Airing,Studio Jack,"VIZ Media, The Pokemon Company International",OLM,Game,1 hr 30 min,PG - Children,2579.0,1810,123,69928.0,111134,https://cdn.myanimelist.net/images/anime/1119/94419.jpg
2848,Kappa no Coo to Natsuyasumi,Summer Days with Coo,河童のクゥと夏休み,7.5,"Adventure, Award Winning, Fantasy","Kouichi Uehara is a fourth grade student living in the suburb of Tokyo. One day, he picks up a large stone which turns out to be a fossil of a baby ""Kappa"" who has been sleeping underground for the past 300 years, and names it ""Coo."" They become good friends and Coo starts living with Kouichi's family. However, Coo has a hard time adjusting to life among humans and misses his kind.",Movie,1.0,"Jul 28, 2007",UNKNOWN,Finished Airing,"Dentsu, TV Asahi, Shochiku, Sony Music Entertainment, Dentsu Tec, Imagine",GKIDS,Shin-Ei Animation,Original,2 hr 21 min,PG - Children,1711.0,4905,47,7312.0,16954,https://cdn.myanimelist.net/images/anime/10/4001.jpg
2851,Ninkuu (Movie),UNKNOWN,忍空,6.05,"Action, Adventure, Comedy","How much humiliation can four people and a penguin take?

Hard boiled Aito? Sexy bombshell Rihoko? Choji the red brief? Shining Fuusuke? Cutesy Hooter Hiroyuki? Oh, gimme a break! Who do these guys think they are? The Ninku?

Unfortunately for the real Aito, Choji, Rihoko, and Fuusuke, they do. But little did these imposters know when they stumbled on this sleepy little desert town, that there’d be a price to pay for being treated like the real Ninku, namely, having to fight the deadly Heaven &amp; Earth brothers!

Fortunately for our phony friends, the real Aito, Choji, and Fuusuke step in, there’s nothing but trouble for the bad guys. Can the Ninku art of magic fighting beat the Heaven &amp; Earth brothers deadly fighting style?

(Source: AniDB)",Movie,1.0,"Jul 15, 1995",UNKNOWN,Finished Airing,UNKNOWN,Media Blasters,Pierrot,Manga,26 min,G - All Ages,8631.0,11017,1,699.0,1770,https://cdn.myanimelist.net/images/anime/1989/127433.jpg
2852,Accelerando: Datenshi-tachi no Sasayaki,UNKNOWN,アッチェレランド ～堕天使たちの囁き～,6.82,Hentai,"Waitress Tamaki has sex with her playmate Kurono at the café she works for. Ignorant of their relationship, their common friend, Ohashi, visits the café as usual to see Tamaki whom he secretly loves. However, Kurono notices Ohashi's feelings. In order to incite him into confessing his feelings to her, Kurono molests Tamaki and makes her wait on him as she is. As she was sexually excited, she gives off a female's scent, which, in turn, excites Ohashi. Meanwhile, Tomoe, a friend of Kurono's appears... Will Ohashi be able to confess his love to Tamaki?

(Source: AnimeNfo)",OVA,4.0,"Jan 26, 2007 to Feb 26, 2010",UNKNOWN,Finished Airing,Pink Pineapple,UNKNOWN,"Flavors Soft, Maboroshi Koubou",Manga,28 min per ep,Rx - Hentai,UNKNOWN,5400,47,5437.0,13231,https://cdn.myanimelist.net/images/anime/1137/103881.jpg
